GENE_ID,GENE_SYMBOL,PATHWAY_ID,PATHWAY_NAME
hsa:4967,OGDH,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:55753,OGDHL,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:5091,PC,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:5105,PCK1,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:5106,PCK2,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:5160,PDHA1,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:5161,PDHA2,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:5162,PDHB,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:6389,SDHA,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:6390,SDHB,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:6391,SDHC,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:6392,SDHD,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:8803,SUCLA2,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:8802,SUCLG1,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:8801,SUCLG2,hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
hsa:226,ALDOA,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:229,ALDOB,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:230,ALDOC,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:51071,DERA,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:2203,FBP1,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:8789,FBP2,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:2539,G6PD,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:132158,GLYCTK,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:2821,GPI,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:9563,H6PD,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:414328,IDNK,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:5211,PFKL,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:5213,PFKM,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:5214,PFKP,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:5226,PGD,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:25796,PGLS,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:5236,PGM1,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:55276,PGM2,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:5631,PRPS1,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:221823,PRPS1L1,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:5634,PRPS2,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:64080,RBKS,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:9104,RGN,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:6120,RPE,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:729020,RPEL1,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:22934,RPIA,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:23729,SHPK,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:6888,TALDO1,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:7086,TKT,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:8277,TKTL1,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:84076,TKTL2,hsa00030,Pentose phosphate pathway - Homo sapiens (human)
hsa:10327,AKR1A1,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:231,AKR1B1,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:57016,AKR1B10,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:441282,AKR1B15,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:729920,CRPPA,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:51084,CRYL1,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:51181,DCXR,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:27294,DHDH,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:55277,FGGY,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:2990,GUSB,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:9365,KL,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:6120,RPE,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:729020,RPEL1,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:6652,SORD,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:7358,UGDH,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:7360,UGP2,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:54658,UGT1A1,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:54575,UGT1A10,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:54659,UGT1A3,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:54657,UGT1A4,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:54579,UGT1A5,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:54578,UGT1A6,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:54577,UGT1A7,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:54576,UGT1A8,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:54600,UGT1A9,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:10941,UGT2A1,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:574537,UGT2A2,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:79799,UGT2A3,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:7365,UGT2B10,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:10720,UGT2B11,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:7366,UGT2B15,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:7367,UGT2B17,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:54490,UGT2B28,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:7363,UGT2B4,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:7364,UGT2B7,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:9942,XYLB,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
hsa:231,AKR1B1,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:57016,AKR1B10,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:441282,AKR1B15,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:226,ALDOA,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:229,ALDOB,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:230,ALDOC,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:55556,ENOSF1,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:2203,FBP1,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:8789,FBP2,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:197258,FCSK,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:8790,FPGT,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:7264,GFUS,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:2762,GMDS,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:29926,GMPPA,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:29925,GMPPB,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:3098,HK1,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:3099,HK2,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:3101,HK3,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:80201,HKDC1,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:51171,HSD17B14,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:3795,KHK,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:4351,MPI,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:5207,PFKFB1,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:5208,PFKFB2,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:5209,PFKFB3,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:5210,PFKFB4,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:5211,PFKL,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:5213,PFKM,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:5214,PFKP,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:5372,PMM1,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:5373,PMM2,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:6652,SORD,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:57103,TIGAR,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:26007,TKFC,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:7167,TPI1,hsa00051,Fructose and mannose metabolism - Homo sapiens (human)
hsa:231,AKR1B1,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:57016,AKR1B10,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:441282,AKR1B15,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:2683,B4GALT1,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:8704,B4GALT2,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:2538,G6PC1,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:57818,G6PC2,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:92579,G6PC3,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:2548,GAA,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:2582,GALE,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:2584,GALK1,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:130589,GALM,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:2592,GALT,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:2595,GANC,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:2645,GCK,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:2717,GLA,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:2720,GLB1,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:3098,HK1,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:3099,HK2,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:3101,HK3,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:80201,HKDC1,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:3906,LALBA,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:3938,LCT,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:8972,MGAM,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:93432,MGAM2,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:5211,PFKL,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:5213,PFKM,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:5214,PFKP,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:5236,PGM1,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:55276,PGM2,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:6476,SI,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:7360,UGP2,hsa00052,Galactose metabolism - Homo sapiens (human)
hsa:10327,AKR1A1,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:219,ALDH1B1,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:217,ALDH2,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:224,ALDH3A2,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:501,ALDH7A1,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:223,ALDH9A1,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:2990,GUSB,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:51171,HSD17B14,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:9365,KL,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:55586,MIOX,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:9104,RGN,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:7358,UGDH,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:54658,UGT1A1,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:54575,UGT1A10,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:54659,UGT1A3,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:54657,UGT1A4,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:54579,UGT1A5,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:54578,UGT1A6,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:54577,UGT1A7,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:54576,UGT1A8,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:54600,UGT1A9,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:10941,UGT2A1,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:574537,UGT2A2,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:79799,UGT2A3,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:7365,UGT2B10,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:10720,UGT2B11,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:7366,UGT2B15,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:7367,UGT2B17,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:54490,UGT2B28,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:7363,UGT2B4,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:7364,UGT2B7,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
hsa:31,ACACA,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:32,ACACB,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:23205,ACSBG1,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:81616,ACSBG2,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:197322,ACSF3,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:2180,ACSL1,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:2181,ACSL3,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:2182,ACSL4,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:51703,ACSL5,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:23305,ACSL6,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:84869,CBR4,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:2194,FASN,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:7923,HSD17B8,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:109703458,HTD2,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:27349,MCAT,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:51102,MECR,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:55301,OLAH,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:54995,OXSM,hsa00061,Fatty acid biosynthesis - Homo sapiens (human)
hsa:10449,ACAA2,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:641371,ACOT1,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:10965,ACOT2,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:122970,ACOT4,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:11332,ACOT7,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:1892,ECHS1,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:64834,ELOVL1,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:54898,ELOVL2,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:83401,ELOVL3,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:6785,ELOVL4,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:60481,ELOVL5,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:79071,ELOVL6,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:79993,ELOVL7,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:9200,HACD1,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:201562,HACD2,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:51495,HACD3,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:401494,HACD4,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:3033,HADH,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:3030,HADHA,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:3032,HADHB,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:51144,HSD17B12,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:153364,MBLAC2,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:51102,MECR,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:5538,PPT1,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:9374,PPT2,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:9524,TECR,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:117145,THEM4,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:284486,THEM5,hsa00062,Fatty acid elongation - Homo sapiens (human)
hsa:30,ACAA1,hsa00071,Fatty acid degradation - Homo sapiens (human)
hsa:10449,ACAA2,hsa00071,Fatty acid degradation - Homo sapiens (human)
hsa:33,ACADL,hsa00071,Fatty acid degradation - Homo sapiens (human)
hsa:34,ACADM,hsa00071,Fatty acid degradation - Homo sapiens (human)
hsa:35,ACADS,hsa00071,Fatty acid degradation - Homo sapiens (human)
hsa:36,ACADSB,hsa00071,Fatty acid degradation - Homo sapiens (human)
hsa:37,ACADVL,hsa00071,Fatty acid degradation - Homo sapiens (human)
hsa:38,ACAT1,hsa00071,Fatty acid degradation - Homo sapiens (human)
hsa:39,ACAT2,hsa00071,Fatty acid degradation - Homo sapiens (human)
hsa:51,ACOX1,hsa00071,Fatty acid degradation - Homo sapiens (human)
hsa:8310,ACOX3,hsa00071,Fatty acid degradation - Homo sapiens (human)
hsa:23205,ACSBG1,hsa00071,Fatty acid degradation - Homo sapiens (human)
hsa:81616,ACSBG2,hsa00071,Fatty acid degradation - Homo sapiens (human)
